prediction;Open;High;Low;Close;Volume;TP;R;V;L;Vt;G;A1;A2;A3;A4;A5;B1;B2;B3;B4;B5;C1;C2;C3;C4;C5;D1;D2;D3;D4;D5;E1;E2;E3;E4;E5;F1;F2;F3;F4;F5;G1;G2;G3;G4;G5;H1;H2;H3;H4;H5;I1;I2;I3;I4;I5
19.200001;25;25.92;20.27;21.959999;8218800;22.71666633;-0.121212123;0.02802083;3.05046938;16.73942345;0.234;0.956671083;956.6710833;-0.956671083;1;0;0.539757962;539.7579616;-0.539757962;539757.9616;-539757.9616;0.814451302;814.4513021;-0.814451302;814451.3021;-814451.3021;0.869296143;869.2961429;-0.869296143;869296.1429;-869296.1429;0.379754775;379.7547751;-0.379754775;379754.7751;-379754.7751;0.616431141;616.4311406;-0.616431141;616431.1406;-616431.1406;0.250697752;250.6977522;-0.250697752;250697.7522;-250697.7522;0.156447836;156.4478363;-0.156447836;156447.8363;-156447.8363;0.990232516;990.2325162;-0.990232516;990232.5162;-990232.5162
16.110001;23;23.1;18.709999;19.200001;5139800;20.33666667;-0.104768879;0.014692379;3.473337137;12.12121228;0.234;0.359432842;359.4328416;-0.359432842;1;0;0.103682889;103.6828891;-0.103682889;103682.8891;-103682.8891;0.480478118;480.478118;-0.480478118;480478.118;-480478.118;0.830579479;830.5794788;-0.830579479;830579.4788;-830579.4788;0.736922895;736.9228949;-0.736922895;736922.8949;-736922.8949;0.654800501;654.8005006;-0.654800501;654800.5006;-654800.5006;0.405989051;405.9890508;-0.405989051;405989.0508;-405989.0508;0.252047685;252.0476846;-0.252047685;252047.6846;-252047.6846;0.456261502;456.2615017;-0.456261502;456261.5017;-456261.5017
15.8;20;20;15.83;16.110001;6866900;17.31333367;-0.148664137;0.010976518;2.498514631;10.4768879;0.234;0.692519447;692.5194466;-0.692519447;1;0;0.229501987;229.5019869;-0.229501987;229501.9869;-229501.9869;0.013772436;13.7724365;-0.013772436;13772.4365;-13772.4365;0.510718602;510.7186017;-0.510718602;510718.6017;-510718.6017;0.16692857;166.9285699;-0.16692857;166928.5699;-166928.5699;0.987095325;987.0953252;-0.987095325;987095.3252;-987095.3252;0.660559479;660.5594785;-0.660559479;660559.4785;-660559.4785;0.711969763;711.9697634;-0.711969763;711969.7634;-711969.7634;0.351665748;351.6657485;-0.351665748;351665.7485;-351665.7485
17.459999;16.4;16.629999;14.98;15.8;6921700;15.803333;-0.087216055;0.022101026;3.467955366;14.8664137;0.234;0.917070068;917.0700678;-0.917070068;1;0;0.114968637;114.9686369;-0.114968637;114968.6369;-114968.6369;0.839894995;839.8949949;-0.839894995;839894.9949;-839894.9949;0.760424917;760.4249168;-0.760424917;760424.9168;-760424.9168;0.937590048;937.5900483;-0.937590048;937590.0483;-937590.0483;0.703086906;703.0869057;-0.703086906;703086.9057;-703086.9057;0.53336092;533.3609201;-0.53336092;533360.9201;-533360.9201;0.01232009;12.32009031;-0.01232009;12320.09031;-12320.09031;0.878699784;878.6997836;-0.878699784;878699.7836;-878699.7836
17.4;16.139999;17.52;15.57;17.459999;7711400;16.84999967;0.066230754;0.00760664;4.302064798;8.721605531;0.234;0.230769222;230.7692219;-0.230769222;1;0;0.536003521;536.0035213;-0.536003521;536003.5213;-536003.5213;0.202181061;202.1810606;-0.202181061;202181.0606;-202181.0606;0.955757699;955.7576991;-0.955757699;955757.6991;-955757.6991;0.592514798;592.5147977;-0.592514798;592514.7977;-592514.7977;0.740113959;740.1139593;-0.740113959;740113.9593;-740113.9593;0.043898447;43.89844692;-0.043898447;43898.44692;-43898.44692;0.431435976;431.435976;-0.431435976;431435.976;-431435.976;0.801784522;801.7845223;-0.801784522;801784.5223;-801784.5223
17.049999;17.58;17.9;16.549999;17.4;4050600;17.283333;0.025717112;0.004386513;5.278447218;6.62307544;0.234;0.365108413;365.1084129;-0.365108413;1;0;0.532950469;532.9504686;-0.532950469;532950.4686;-532950.4686;0.350585131;350.5851315;-0.350585131;350585.1315;-350585.1315;0.042571461;42.57146133;-0.042571461;42571.46133;-42571.46133;0.83451082;834.5108203;-0.83451082;834510.8203;-834510.8203;0.367041619;367.041619;-0.367041619;367041.619;-367041.619;0.686515611;686.5156106;-0.686515611;686515.6106;-686515.6106;0.870530221;870.5302209;-0.870530221;870530.2209;-870530.2209;0.444064246;444.0642459;-0.444064246;444064.2459;-444064.2459
18.139999;17.950001;18.07;17;17.049999;2202500;17.373333;0.005207329;0.00066137;7.280197156;2.571711228;0.234;0.778713014;778.7130137;-0.778713014;1;0;0.226344495;226.3444955;-0.226344495;226344.4955;-226344.4955;0.730922263;730.9222628;-0.730922263;730922.2628;-730922.2628;0.784260604;784.2606041;-0.784260604;784260.6041;-784260.6041;0.258883473;258.8834734;-0.258883473;258883.4734;-258883.4734;0.375049891;375.0498907;-0.375049891;375049.8907;-375049.8907;0.290635385;290.6353852;-0.290635385;290635.3852;-290635.3852;0.727565209;727.5652089;-0.727565209;727565.2089;-727565.2089;0.119376096;119.3760965;-0.119376096;119376.0965;-119376.0965
19.84;17.389999;18.639999;16.9;18.139999;2680100;17.89333267;0.02993091;2.71163E-05;-22.52232457;0.520732893;0.234;0.530525592;530.5255918;-0.530525592;1;0;0.485234133;485.2341328;-0.485234133;485234.1328;-485234.1328;0.739367856;739.3678556;-0.739367856;739367.8556;-739367.8556;0.394899167;394.8991674;-0.394899167;394899.1674;-394899.1674;0.890110307;890.110307;-0.890110307;890110.307;-890110.307;0.41819965;418.1996499;-0.41819965;418199.6499;-418199.6499;0.278508155;278.5081551;-0.278508155;278508.1551;-278508.1551;0.159077803;159.0778034;-0.159077803;159077.8034;-159077.8034;0.207014157;207.0141574;-0.207014157;207014.1574;-207014.1574
19.889999;17.940001;20.15;17.76;19.84;4195200;19.25;0.075819712;0.000895859;0.600839673;2.993091001;0.234;0.032990324;32.99032408;-0.032990324;1;0;0.984684464;984.6844641;-0.984684464;984684.4641;-984684.4641;0.994242575;994.2425752;-0.994242575;994242.5752;-994242.5752;0.64242038;642.4203804;-0.64242038;642420.3804;-642420.3804;0.139121295;139.1212955;-0.139121295;139121.2955;-139121.2955;0.535095001;535.0950005;-0.535095001;535095.0005;-535095.0005;0.831925774;831.9257735;-0.831925774;831925.7735;-831925.7735;0.151094475;151.0944752;-0.151094475;151094.4752;-151094.4752;0.707227201;707.2272014;-0.707227201;707227.2014;-707227.2014
20.639999;19.940001;21.5;19;19.889999;3739800;20.12999967;0.045714268;0.005748629;4.795264743;7.581971221;0.234;0.65099483;650.9948299;-0.65099483;1;0;0.804843447;804.8434475;-0.804843447;804843.4475;-804843.4475;0.296618591;296.6185914;-0.296618591;296618.5914;-296618.5914;0.577577617;577.577617;-0.577577617;577577.617;-577577.617;0.816838247;816.8382466;-0.816838247;816838.2466;-816838.2466;0.173668677;173.6686766;-0.173668677;173668.6766;-173668.6766;0.35552993;355.5299303;-0.35552993;355529.9303;-355529.9303;0.790771122;790.771122;-0.790771122;790771.122;-790771.122;0.604992743;604.9927434;-0.604992743;604992.7434;-604992.7434
